iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;14.2;18.0734;27.28%;14.829505;17.7378
2000;4;27.58;35.7413;29.59%;28.289821;35.3799
3000;8;41.11;46.18;12.33%;42.203049;45.8799
4000;8;54.78;72.8162;32.92%;58.567097;72.439
5000;8;71.36;73.8161;3.44%;69.123527;73.4898
6000;16;81.91;99.2802;21.21%;82.447275;98.9094
7000;16;92.75;119.432;28.77%;92.184854;119.119
8000;16;109.84;113.508;3.34%;109.984054;113.22
9000;16;122.05;156.084;27.89%;124.618704;155.69
10000;16;134.24;147.578;9.94%;134.059166;147.287
11000;16;145.16;172.581;18.89%;147.404489;172.21
12000;32;158.68;205.899;29.76%;160.126187;205.575
13000;32;170.17;180.932;6.32%;172.075426;180.586
14000;32;188.56;218.247;15.74%;186.966291;217.847
15000;32;203.16;205.384;1.09%;200.73307;205.065
16000;32;210.23;264.565;25.85%;211.911289;264.275
17000;32;228.02;293.128;28.55%;223.686489;292.852
18000;32;239.96;303.2;26.35%;237.866412;302.89
19000;32;249.5;309.964;24.23%;249.238423;309.656
20000;32;263.74;317.629;20.43%;263.69597;317.245
21000;32;273.65;296.122;8.21%;279.214442;295.774
22000;32;289.59;365.799;26.32%;290.906508;365.45
23000;32;303.19;385.728;27.22%;303.147429;385.391
24000;64;313;394.896;26.16%;318.38176;394.575
25000;64;327.75;397.503;21.28%;332.46192;397.191
26000;64;341.22;409.438;19.99%;347.334307;409.109
27000;64;354.18;379.201;7.06%;360.866793;378.892
28000;64;370.9;387.066;4.36%;372.278064;386.776
29000;64;381.12;415.334;8.98%;387.296371;415.027
30000;64;395.27;463.252;17.20%;401.544523;462.826
31000;64;407.25;498.391;22.38%;415.244602;498.074
32000;64;417.21;504.852;21.01%;426.22327;504.577
33000;64;430.3;510.114;18.55%;443.353727;509.831
34000;64;446.64;530.582;18.79%;459.915119;530.266
35000;64;455.54;525.1;15.27%;475.700705;524.77
36000;64;470.87;542.983;15.31%;485.067742;542.692
37000;64;483.43;551.201;14.02%;497.406673;550.829
38000;64;497.21;609.84;22.65%;511.177445;609.547
39000;64;511.42;537.148;5.03%;520.687305;536.855
40000;64;524.06;610.701;16.53%;536.244896;609.964
41000;64;542.67;715.191;31.79%;552.997523;714.9
42000;64;551.13;623.396;13.11%;568.34922;622.859
43000;64;565.28;708.896;25.41%;577.632092;708.611
44000;64;577.14;707.828;22.64%;591.616985;707.51
45000;64;591.06;706.733;19.57%;610.436083;706.297
46000;64;606.67;737.504;21.57%;615.384209;737.113
47000;64;616.58;735.629;19.31%;630.412598;735.277
48000;128;635.81;783.653;23.25%;646.292538;783.326
49000;128;650.18;758.547;16.67%;663.339384;758.148
50000;128;659.96;794.309;20.36%;670.497408;793.923
51000;128;672.96;792.2;17.72%;688.437992;791.814
52000;128;683.14;754.101;10.39%;695.253285;753.788
53000;128;700.23;724.417;3.45%;714.624826;723.993
54000;128;712.01;830.325;16.62%;724.272292;829.972
55000;128;719.93;786.998;9.32%;739.168853;786.341
56000;128;738.8;927.108;25.49%;746.446803;926.68
57000;128;753.09;822.585;9.23%;781.443659;822.044
58000;128;759.71;930.836;22.53%;789.416471;930.51
59000;128;768.2;934.35;21.63%;772.793079;934.037
60000;128;779.62;840.239;7.78%;784.323439;839.939
61000;128;795.24;953.503;19.90%;804.180003;953.162
62000;128;801.93;881.818;9.96%;814.262337;881.519
63000;128;817.2;918.277;12.37%;823.82999;917.987
64000;128;843.82;1064.21;26.12%;839.159168;1063.81
65000;128;845.31;1073.83;27.03%;847.406052;1073.49
66000;128;852.04;1086.47;27.51%;871.518808;1086.18
67000;128;884.68;1068;20.72%;877.084195;1067.67
68000;128;881.57;1109.67;25.87%;885.660191;1109.34
69000;128;899.55;1084.02;20.51%;903.449757;1083.71
70000;128;911;1130.97;24.15%;915.250336;1130.57
71000;128;920.42;1063.15;15.51%;951.2306;1040.32
72000;128;935.34;1118.12;19.54%;929.660888;1117.83
73000;128;946.38;976.099;3.14%;966.143953;975.733
74000;128;966.3;1223.35;26.60%;960.439045;1223.05
75000;128;969.5;1138.15;17.40%;978.015377;1137.77
76000;128;1005.69;1141.14;13.47%;993.606481;1140.8
77000;128;1010.97;1173.92;16.12%;1010.499197;1173.53
78000;128;1018.44;1177.77;15.64%;1039.600959;1177.37
79000;128;1037.89;1283.74;23.69%;1033.199335;1283.41
80000;128;1039.97;1296.62;24.68%;1058.453562;1296.3
81000;128;1058.23;1289.21;21.83%;1059.587631;1288.88
82000;128;1068.52;1205.33;12.80%;1081.984325;1205
83000;128;1072.78;1297.24;20.92%;1081.688199;1296.91
84000;128;1094.4;1157.52;5.77%;1101.737432;1157.22
85000;128;1102.29;1192.16;8.15%;1112.276615;1191.86
86000;128;1116.55;1335.32;19.59%;1124.382227;1334.97
87000;128;1124.29;1341.47;19.32%;1133.738674;1341.07
88000;128;1136.3;1200.63;5.66%;1160.838196;1200.27
89000;128;1154.38;1305.24;13.07%;1154.621472;1304.87
90000;128;1164.65;1375.75;18.13%;1174.845457;1375.43
91000;128;1176.72;1520.57;29.22%;1201.841956;1520.24
92000;128;1187.37;1410.55;18.80%;1220.707006;1410.26
93000;128;1207.73;1562.45;29.37%;1209.352903;1562.12
94000;128;1228.87;1447.1;17.76%;1258.273879;1446.65
95000;128;1235.54;1570.96;27.15%;1238.239712;1570.59
96000;256;1253.96;1527.63;21.82%;1265.43328;1527.23
97000;256;1262.31;1556.64;23.32%;1267.567892;1556.29
98000;256;1269.64;1520.41;19.75%;1276.699527;1520.05
99000;256;1280.44;1522.9;18.94%;1298.196991;1522.53
100000;256;1292.82;1540.56;19.16%;1326.969923;1540.17
101000;256;1316.63;1709.06;29.81%;1328.629647;1708.75
102000;256;1320.47;1450.4;9.84%;1345.854515;1450.06
103000;256;1346.43;1626.01;20.76%;1352.599648;1625.67
104000;256;1352.86;1731.64;28.00%;1371.145523;1731.21
105000;256;1366.72;1616.5;18.28%;1399.131428;1616.09
106000;256;1385.64;1776.21;28.19%;1386.455688;1775.75
107000;256;1382.35;1808.04;30.79%;1428.076126;1807.73
108000;256;1399.64;1794.49;28.21%;1415.205406;1794.11
109000;256;1423.42;1697.35;19.24%;1445.822174;1696.99
110000;256;1416.93;1552.99;9.60%;1461.910893;1552.68
111000;256;1431.51;1480.14;3.40%;1455.597231;1479.82
112000;256;1450.93;1796.24;23.80%;1468.792747;1795.9
113000;256;1455.26;1575.85;8.29%;1481.117025;1575.53
114000;256;1477.69;1720.73;16.45%;1479.179387;1720.3
115000;256;1482.42;1821.41;22.87%;1505.943924;1820.96
116000;256;1501.97;1897.81;26.35%;1567.796215;1897.4
117000;256;1532.69;1880.89;22.72%;1548.861973;1880.47
118000;256;1530.27;1636.51;6.94%;1579.48565;1636.17
119000;256;1541.6;1840.96;19.42%;1551.993198;1840.64
120000;256;1562.15;1851.56;18.53%;1667.700544;1851.21
121000;256;1570.71;1795.83;14.33%;1628.595506;1795.48
122000;256;1581.6;1667.64;5.44%;1593.940672;1667.28
123000;256;1594.56;1898.97;19.09%;1612.958558;1898.62
124000;256;1603.06;2141.74;33.60%;1681.325195;2141.34
125000;256;1616.25;1798.38;11.27%;1633.188595;1797.94
126000;256;1625.64;2139.43;31.61%;1680.066056;2139.07
127000;256;1648.33;1836.89;11.44%;1658.907099;1836.57
128000;256;1650.63;1912.02;15.84%;1675.265786;1911.6
129000;256;1669.74;1989.66;19.16%;1702.599237;1989.3
130000;256;1683.31;1793.87;6.57%;1687.819695;1793.51
131000;256;1708.41;2191.06;28.25%;1723.612189;2190.76
132000;256;1701.82;1855.66;9.04%;1748.319469;1855.32
133000;256;1730.38;2150;24.25%;1757.244779;2149.63
134000;256;1739.74;2168.55;24.65%;1771.689456;2168.23
135000;256;1760.05;2297.52;30.54%;1761.029016;2297.08
136000;256;1795.63;2239.25;24.71%;1829.565074;2238.83
137000;256;1765.08;2275.1;28.90%;1892.957223;2274.79
138000;256;1806.5;2249.86;24.54%;1866.183578;2249.52
139000;256;1800.34;2264.33;25.77%;1868.590982;2264.01
140000;256;1818.55;1939.1;6.63%;1881.211269;1938.79
141000;256;1831.58;2323.84;26.88%;1951.672898;2323.49
142000;256;1832.68;2243.83;22.43%;1921.249996;2243.51
143000;256;1845.33;2300.41;24.66%;1971.044976;2300.05
144000;256;1854.31;2281.55;23.04%;1937.344147;2281.2
145000;256;1878.15;2362.02;25.76%;1995.011684;2361.62
146000;256;1894.88;2329.34;22.93%;1983.703808;2328.92
147000;256;1907.52;2486.32;30.34%;2005.235574;2485.96
148000;256;1912.27;2568.7;34.33%;1982.808457;2568.35
149000;256;1924.94;2608.99;35.54%;2041.829305;2608.64
150000;256;1961.48;2320.96;18.33%;2015.911207;2320.53
151000;256;1949.16;2583.89;32.56%;2069.182688;2583.57
152000;256;1971.01;2405.69;22.05%;2078.875574;2405.37
153000;256;1968.25;2609.5;32.58%;2038.645943;2609.11
154000;256;1992.5;2506.13;25.78%;2038.293075;2505.73
155000;256;2008.42;2214.44;10.26%;2070.507217;2214.08
156000;256;2033.38;2107.43;3.64%;2066.328153;2107.02
157000;256;2029.86;2206.76;8.71%;2096.880081;2206.44
158000;256;2040.61;2738.19;34.18%;2193.118866;2737.83
159000;256;2062.57;2238.91;8.55%;2113.536448;2238.56
160000;256;2069.02;2610.47;26.17%;2165.005351;2610.12
161000;256;2097.43;2349.82;12.03%;2233.635688;2349.46
162000;256;2089.41;2673.52;27.96%;2154.225631;2673.07
163000;256;2108.94;2654.87;25.89%;2213.195922;2654.55
164000;256;2110.95;2739.07;29.76%;2276.665411;2738.77
165000;256;2133.75;2642.39;23.84%;2242.516296;2641.97
166000;256;2149.61;2388.75;11.12%;2185.816928;2388.34
167000;256;2175.85;2704.9;24.31%;2258.938389;2704.55
168000;256;2172.89;2698.38;24.18%;2332.077626;2698.06
169000;256;2196.22;2323.08;5.78%;2289.883244;2322.74
