iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;0.37;2.66597;620.53%;0.671182;2.31738
2000;4;0.47;4.59113;876.84%;1.220898;4.19618
3000;8;0.65;6.78114;943.25%;0.93524;6.42058
4000;8;0.78;8.46285;984.98%;0.982445;8.18086
5000;8;0.88;9.8566;1020.07%;1.199991;9.53927
6000;16;1.04;12.8419;1134.80%;1.259781;12.5647
7000;16;1.29;15.203;1078.53%;1.405809;14.912
8000;16;1.33;15.5825;1071.62%;1.703861;15.1956
9000;16;1.46;17.1887;1077.31%;1.833951;16.9091
10000;16;1.62;18.5025;1042.13%;1.955915;18.2225
11000;16;1.98;20.5994;940.37%;2.039674;20.3042
12000;32;2.24;23.1652;934.16%;2.238358;22.8234
13000;32;2.03;24.5444;1109.08%;2.404524;24.1954
14000;32;2.42;26.5351;996.49%;2.540598;26.2022
15000;32;2.68;27.9705;943.68%;2.533792;27.6797
16000;32;2.66;29.3872;1004.78%;2.676116;29.1035
17000;32;2.57;30.6521;1092.69%;2.808161;30.374
18000;32;2.79;11.7234;320.19%;3.546623;11.4449
19000;32;2.84;33.7175;1087.24%;3.169918;33.3857
20000;32;3.24;39.4559;1117.77%;3.639244;39.0348
21000;32;3.23;36.2776;1023.15%;3.553579;35.9212
22000;32;3.25;38.3536;1080.11%;3.716552;37.9333
23000;32;3.36;39.4674;1074.63%;3.968269;38.8346
24000;64;3.54;44.1533;1147.27%;4.120563;43.8821
25000;64;3.62;46.4528;1183.23%;4.217793;46.1168
26000;64;4.69;55.576;1084.99%;4.747049;55.1165
27000;64;4.05;50.4215;1144.98%;4.664206;50.0939
28000;64;4.61;55.7202;1108.68%;5.369682;55.2919
29000;64;4.22;53.8348;1175.71%;5.083872;53.1189
30000;64;4.5;55.5137;1133.64%;5.06078;55.1806
31000;64;5.06;55.8644;1004.04%;4.942481;55.4472
32000;64;5;56.9158;1038.32%;5.095944;56.5548
33000;64;4.74;59.9963;1165.74%;5.245535;59.6206
34000;64;5.03;61.7325;1127.29%;5.630519;61.3995
35000;64;5.71;63.2048;1006.91%;6.066738;62.7874
36000;64;5.15;62.4074;1111.79%;5.402991;62.1312
37000;64;5.2;63.792;1126.77%;5.6504;63.4283
38000;64;5.42;65.3513;1105.74%;5.63461;65.0799
39000;64;5.59;65.9544;1079.86%;5.948642;65.5753
40000;64;5.79;68.6197;1085.14%;6.339987;68.3454
41000;64;6.27;70.4491;1023.59%;6.229281;70.1555
42000;64;6.53;71.4678;994.45%;6.608;71.1185
43000;64;6.42;71.9307;1020.42%;6.327395;71.6577
44000;64;6.66;73.1418;998.23%;6.490231;72.8663
45000;64;6.95;77.8878;1020.69%;6.82212;77.5965
46000;64;6.48;76.7109;1083.81%;6.889376;76.4268
47000;64;7.05;77.3992;997.86%;6.896612;77.1306
48000;128;7.25;86.6276;1094.86%;7.299482;86.2967
49000;128;7.52;89.8962;1095.43%;7.29675;89.5799
50000;128;7.45;90.2582;1111.52%;7.494732;89.9041
51000;128;7.6;93.4643;1129.79%;7.727661;93.0508
